"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"shared_textures",800,800,1,1,"process_cold",0,415
"shared_textures",800,800,1,1,"warm",1,335
"shared_textures",800,800,1,1,"warm",2,282
"shared_textures",800,800,1,1,"warm",3,312
"shared_textures",800,800,1,1,"warm",4,290
"shared_textures",800,800,1,1,"warm",5,320
"shared_textures",800,800,1,1,"warm",6,279
"shared_textures",800,800,1,1,"warm",7,304
"shared_textures",800,800,1,1,"warm",8,288
"shared_textures",800,800,1,1,"warm",9,311
"shared_textures",800,800,1,1,"warm",10,297
