"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"small",800,800,1,1,"process_cold",0,328
"small",800,800,1,1,"warm",1,195
"small",800,800,1,1,"warm",2,211
"small",800,800,1,1,"warm",3,213
"small",800,800,1,1,"warm",4,206
"small",800,800,1,1,"warm",5,197
"small",800,800,1,1,"warm",6,207
"small",800,800,1,1,"warm",7,186
"small",800,800,1,1,"warm",8,202
"small",800,800,1,1,"warm",9,190
"small",800,800,1,1,"warm",10,209
"small",800,800,1,1,"warm",11,185
"small",800,800,1,1,"warm",12,209
"small",800,800,1,1,"warm",13,188
"small",800,800,1,1,"warm",14,205
"small",800,800,1,1,"warm",15,189
