"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"alpha16",800,800,1,4,"process_cold",0,186
"alpha16",800,800,1,4,"warm",1,112
"alpha16",800,800,1,4,"warm",2,113
"alpha16",800,800,1,4,"warm",3,111
