case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,3,403,327.0,327.9,3.058103975535168,310.0,312.7,1061797888,132167784,314.0,3,387596288
alpha4,800,800,1,1,3,173,100.0,100.0,10.0,83.0,84.80000000000018,561987584,132156768,85.0000000000002,3,215777280
alpha64,800,800,1,1,3,1201,1115.0,1123.1,0.8968609865470852,1095.0,1099.5,2592866304,132192984,1100.0,3,1083146240
environment,800,800,1,1,3,151,78.0,78.9,12.820512820512821,50.0,50.0,431652864,112775784,50.0,3,204013568
grid100k,800,800,1,1,3,131,54.0,54.0,18.51851851851852,30.0,30.89999999999991,580091904,147386960,32.0,3,291192832
grid1m,800,800,1,1,3,276,249.0,253.5,4.016064257028113,176.0,177.8,1105592320,284657152,184.0,3,706691072
grid500k,800,800,1,1,3,198,147.0,152.4,6.802721088435374,103.0,103.0,961298432,208212992,104.0,3,470564864
occluded,800,800,1,1,3,206,113.0,116.6,8.849557522123893,87.0,87.90000000000009,529629184,147582360,96.0000000000001,3,288112640
overdraw,800,800,1,1,3,473,396.0,396.9,2.525252525252525,349.0,367.9,513884160,147582360,356.0,3,296697856
shadow,800,800,1,1,3,110,36.0,36.9,27.77777777777778,19.0000000000001,19.0000000000001,485081088,135961152,20.0,3,211222528
shared_textures,800,800,1,1,3,117,36.0,36.9,27.77777777777778,19.0000000000001,19.90000000000001,360546304,135928560,20.0,3,220987392
small,800,800,1,1,3,99,21.9999999999999,23.79999999999999,45.45454545454566,7.00000000000001,7.00000000000001,474021888,134507736,8.00000000000001,3,218349568
ssao,800,800,1,1,3,226,150.0,150.9,6.666666666666667,107.0,107.0,594395136,194255712,111.0,3,276217856
toon,800,800,1,1,3,255,187.0,203.2,5.347593582887701,142.0,142.9,630046720,171154656,146.0,3,330842112
