"label","seconds","interval_ms"
"Validating Mesh",0.857,NA
"Pre-processing scene",0.857,0
"Pre-processed  scene",0.857,0
"Removed duplicate materials",0.857,0
"Processed scene bounds",0.857,0
"Processed texture filenames",0.858,1
"Processed materials",0.858,0
"Loaded environment maps",0.858,0
"Initialized buffers",0.86,2
"Initialized shadowmaps",0.86,0
"Initialized alpha buffers",0.86,0
"Initialized shaders",0.86,0
"Initialized 3D models",0.86,0
"Calculated depth buffer(s)",0.861,1
"Executed pixel shaders",0.865,4
"Calculated linear depth",0.866,1
"Rasterized image",0.866,0
"Assembled output",0.877,11
"Clamped output",0.882,5
"Display/save image",0.882,0
