case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,3,565,510.0,511.8,1.9607843137254901,326.0,326.9,1315766272,483013552,327.000000000001,3,394526720
environment,800,800,1,1,3,307,243.0,248.4,4.11522633744856,49.9999999999998,50.00000000000025,737837056,463621408,52.9999999999999,3,371965952
environment_shared,800,800,1,1,3,311,259.0,278.8,3.861003861003861,53.9999999999998,54.90000000000016,757055488,463563536,56.0,3,373211136
point_lights,800,800,1,1,3,305,237.0,266.7,4.219409282700422,63.0000000000002,64.79999999999993,772980736,483660920,60.0000000000001,3,387842048
shadow,800,800,1,1,3,269,199.0,221.5,5.025125628140704,20.0,20.0,801701888,486806936,20.9999999999999,3,395198464
small,800,800,1,1,3,251,188.0,191.6,5.319148936170213,7.00000000000012,7.00000000000012,887242752,485353360,8.9999999999999,3,376258560
