"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"alpha64",800,800,1,1,"process_cold",0,5080
"alpha64",800,800,1,1,"warm",1,4631
"alpha64",800,800,1,1,"warm",2,4296
"alpha64",800,800,1,1,"warm",3,4434
