"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"ssao",800,800,1,1,"process_cold",0,225
"ssao",800,800,1,1,"warm",1,150
"ssao",800,800,1,1,"warm",2,131
"ssao",800,800,1,1,"warm",3,153
