"path","exact","attributes_exact","max_absolute","changed_finite","nonfinite_exact"
"/diffuse FALSE/raw_depth",TRUE,TRUE,0,0,TRUE
"/diffuse FALSE/normals",TRUE,TRUE,0,0,TRUE
"/diffuse FALSE/uv",TRUE,TRUE,0,0,TRUE
"/diffuse FALSE/position",TRUE,TRUE,0,0,TRUE
"/diffuse FALSE/depth",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/none",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/r",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/g",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/b",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/a",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/amb",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/depth",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/normalx",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/normaly",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/normalz",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/positionx",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/positiony",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/positionz",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/uvx",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/uvy",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/all/uvz",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/raw_depth",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/normals",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/uv",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/position",TRUE,TRUE,0,0,TRUE
"/diffuse TRUE/depth",TRUE,TRUE,0,0,TRUE
"/phong FALSE/none",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/r",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/g",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/b",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/a",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/amb",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/depth",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/normalx",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/normaly",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/normalz",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/positionx",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/positiony",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/positionz",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/uvx",TRUE,TRUE,0,0,TRUE
"/phong FALSE/all/uvy",TRUE,TRUE,0,0,TRUE
