case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,3,415,329.0,329.9,3.0395136778115504,319.0,320.8,1045299200,112742136,319.0,3,391036928
grid1m,800,800,1,1,3,285,269.0,269.0,3.717472118959108,191.0,267.5,1190543360,265231912,201.0,3,745553920
normal_shared,800,800,1,1,3,334,252.0,258.3,3.9682539682539684,200.0,202.7,1167998976,253201528,207.0,3,704528384
shadow,800,800,1,1,3,110,34.0,34.0,29.41176470588235,20.0,20.0,423821312,115921800,20.9999999999999,3,192577536
small,800,800,1,1,3,99,17.0,17.9,58.8235294117647,7.00000000000001,7.899999999999911,470614016,112642896,8.00000000000001,3,200425472
ssao,800,800,1,1,3,223,147.0,148.8,6.802721088435374,110.0,110.0,596770816,158856216,109.0,3,241958912
tangent_overdraw,800,800,1,1,3,668,594.0,594.0,1.6835016835016836,579.000000000001,580.8000000000001,428048384,112736824,581.0,3,210812928
toon,800,800,1,1,3,257,185.0,204.8,5.405405405405405,142.0,143.8,544636928,151176168,143.0,3,295223296
