"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"alpha4",800,800,1,1,"process_cold",0,339
"alpha4",800,800,1,1,"warm",1,274
"alpha4",800,800,1,1,"warm",2,267
"alpha4",800,800,1,1,"warm",3,249
