case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,3,426,356.0,356.9,2.808988764044944,339.0,343.5,1045020672,132167784,329.0,1,
alpha16,800,800,1,4,3,189,112.0,112.9,8.928571428571429,96.0000000000001,96.9,1039269888,132167784,99.0000000000002,1,
alpha4,800,800,1,1,3,180,100.0,105.4,10.0,86.0000000000001,86.0000000000001,508674048,132156768,91.0,1,
alpha4,800,800,1,4,3,118,42.0,44.7,23.80952380952381,27.9999999999998,27.99999999999998,530907136,132156768,28.9999999999999,1,
grid100k,1920,1080,2,4,3,1383,1200.0,1205.4,0.8333333333333334,94.9999999999989,98.60000000000007,3142189056,2610100608,105.0,1,1817886720
grid100k,800,800,1,1,3,135,57.0,57.9,17.54385964912281,37.0000000000001,44.19999999999992,499744768,147386960,36.9999999999999,1,
grid100k,800,800,1,4,3,126,44.9999999999999,47.6999999999999,22.22222222222227,22.9999999999999,23.89999999999999,615415808,147386960,24.0,1,
grid1m,800,800,1,1,3,318,280.0,299.8,3.5714285714285716,220.0,247.8999999999991,1287323648,284657152,223.000000000001,1,
grid1m,800,800,1,4,3,258,231.0,243.6,4.329004329004329,164.0,165.8,1269743616,284657152,167.0,1,
shadow,800,800,1,1,3,110,37.0,38.8,27.027027027027028,20.0,20.0,426835968,135961152,20.0,1,
shadow,800,800,1,4,3,103,26.0,27.8,38.46153846153846,9.9999999999999,9.99999999999999,419430400,135961152,12.0,1,
slivers,800,800,1,1,3,139,66.0000000000001,67.79999999999993,15.15151515151513,51.0000000000002,51.0000000000002,439304192,135368656,52.0,1,
slivers,800,800,1,4,3,110,34.0,34.9,29.41176470588235,18.0,18.0,437436416,135368656,19.9999999999998,1,215318528
small,800,800,1,1,3,95,22.0,23.8,45.45454545454545,8.00000000000001,11.600000000000001,451297280,134507736,8.00000000000001,1,
small,800,800,1,4,3,95,21.0,21.0,47.61904761904762,5.0,5.0,498122752,134507736,6.0,1,
