"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"shadow",800,800,1,1,"process_cold",0,289
"shadow",800,800,1,1,"warm",1,248
"shadow",800,800,1,1,"warm",2,196
"shadow",800,800,1,1,"warm",3,233
