"case","cores","width","height","fsaa","regime","sample","elapsed_ms"
"ssao",4,1920,1080,2,"warm",1,1643
"ssao",4,1920,1080,2,"warm",2,1665
"ssao",4,1920,1080,2,"warm",3,1645
"ssao",4,1920,1080,2,"warm",4,1623
"ssao",4,1920,1080,2,"warm",5,1660
"ssao",4,1920,1080,2,"native",1,411
"ssao",4,1920,1080,2,"native",2,428.000000000001
"ssao",4,1920,1080,2,"native",3,418.999999999999
"ssao",4,1920,1080,2,"native",4,423
"ssao",4,1920,1080,2,"native",5,456.999999999999
