"case","cores","width","height","fsaa","regime","sample","elapsed_ms"
"ssao",4,1920,1080,2,"warm",1,2656
"ssao",4,1920,1080,2,"warm",2,2508
"ssao",4,1920,1080,2,"warm",3,2540
"ssao",4,1920,1080,2,"warm",4,2560
"ssao",4,1920,1080,2,"warm",5,2516
"ssao",4,1920,1080,2,"native",1,410
"ssao",4,1920,1080,2,"native",2,405.999999999999
"ssao",4,1920,1080,2,"native",3,405.999999999999
"ssao",4,1920,1080,2,"native",4,418.000000000003
"ssao",4,1920,1080,2,"native",5,446.999999999999
