"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"grid1m",800,800,1,4,"process_cold",0,267
"grid1m",800,800,1,4,"warm",1,234
"grid1m",800,800,1,4,"warm",2,239
"grid1m",800,800,1,4,"warm",3,230
