case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
grid100k,1920,1080,2,4,3,1535,1277.0,1291.4,0.7830853563038371,102.0,106.4999999999991,3108044800,2610100608,112.0,1,1832173568
small,1920,1080,2,4,3,1319,1116.0,1135.8,0.8960573476702509,59.000000000001,60.80000000000001,3032449024,2612571112,67.9999999999996,1,1749581824
ssao,1920,1080,2,4,3,1975,1655.0,1745.0,0.6042296072507553,413.0,413.90000000000094,3396337664,3395658112,433.999999999999,1,2592014336
