"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"alpha4",800,800,1,1,"process_cold",0,468
"alpha4",800,800,1,1,"warm",1,328
"alpha4",800,800,1,1,"warm",2,351
"alpha4",800,800,1,1,"warm",3,334
