"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"shared_textures",800,800,1,1,"process_cold",0,363
"shared_textures",800,800,1,1,"warm",1,243
"shared_textures",800,800,1,1,"warm",2,217
"shared_textures",800,800,1,1,"warm",3,235
"shared_textures",800,800,1,1,"warm",4,224
"shared_textures",800,800,1,1,"warm",5,243
"shared_textures",800,800,1,1,"warm",6,214
"shared_textures",800,800,1,1,"warm",7,233
"shared_textures",800,800,1,1,"warm",8,219
"shared_textures",800,800,1,1,"warm",9,243
"shared_textures",800,800,1,1,"warm",10,219
