"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"toon",800,800,1,1,"process_cold",0,409
"toon",800,800,1,1,"warm",1,335
"toon",800,800,1,1,"warm",2,321
"toon",800,800,1,1,"warm",3,331
