"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"occluded",800,800,1,4,"process_cold",0,930
"occluded",800,800,1,4,"warm",1,655
"occluded",800,800,1,4,"warm",2,588
"occluded",800,800,1,4,"warm",3,557
"occluded",800,800,1,4,"warm",4,603
"occluded",800,800,1,4,"warm",5,523
"occluded",800,800,1,4,"warm",6,564
"occluded",800,800,1,4,"warm",7,553.999999999999
"occluded",800,800,1,4,"warm",8,507.000000000001
"occluded",800,800,1,4,"warm",9,536
"occluded",800,800,1,4,"warm",10,477
