case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha129,159,241,1,4,3,93,63.0000000000001,63.9000000000001,15.873015873015849,57.0000000000002,57.90000000000002,551436288,29098384,60.0000000000001,1,260259840
alpha4,1920,1080,1,4,3,647,514.0,531.1,1.9455252918287937,55.9999999999992,56.900000000000276,1875312640,1569665760,66.0000000000007,1,
alpha4,1920,1080,2,4,3,2401,2183.0,2188.4,0.45808520384791573,231.000000000002,249.8999999999993,5865357312,6045770376,231.999999999999,1,
alpha4,800,800,2,4,3,910,749.0,751.7,1.335113484646195,113.0,130.1000000000009,2308063232,1859867976,119.0,1,
grid100k,1920,1080,1,4,3,675,505.0,518.5,1.9801980198019802,39.0000000000006,40.800000000000416,1932132352,1584896360,41.9999999999998,1,
grid100k,1920,1080,2,4,3,2331,2080.0,2084.5,0.4807692307692308,97.0000000000013,97.89999999999924,6092652544,6061005032,100.999999999999,1,3264151552
grid100k,800,800,2,4,3,896,706.0,710.5,1.4164305949008498,51.0000000000002,51.90000000000047,2116452352,1875097696,52.0000000000005,1,
small,1920,1080,1,4,3,598,467.0,480.5,2.1413276231263385,14.0000000000002,14.90000000000056,1694695424,1574024240,16.9999999999995,1,
small,1920,1080,2,4,3,2220,1996.0,2065.3,0.501002004008016,57.0000000000022,57.90000000000004,5355077632,6063357536,64.0000000000001,1,
small,800,800,2,4,3,824,661.0,674.5,1.51285930408472,20.9999999999999,20.9999999999999,1928298496,1869455296,21.9999999999994,1,
ssao,1920,1080,2,4,3,2680,2418.0,2426.1,0.41356492969396197,398.0,400.7,6827540480,6846469776,410.999999999998,1,
