"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"alpha4",1920,1080,2,4,"process_cold",0,2201
"alpha4",1920,1080,2,4,"warm",1,1767
"alpha4",1920,1080,2,4,"warm",2,1731
"alpha4",1920,1080,2,4,"warm",3,1666
