case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,3,565,511.0,511.9,1.9569471624266144,326.0,326.9,1232519168,483013552,326.0,1,
alpha16,800,800,1,10,3,305,239.0,239.9,4.184100418410042,54.0000000000003,57.6000000000003,1314848768,483013552,66.0000000000003,1,
alpha16,800,800,1,2,3,419,357.0,359.7,2.8011204481792715,172.0,174.7,1289125888,483013552,174.0,1,
alpha16,800,800,1,4,3,336,279.0,288.0,3.5842293906810037,97.0,98.79999999999983,1265516544,483013552,95.0000000000002,1,
overdraw,800,800,1,1,3,621,534.0,548.4,1.8726591760299625,368.0,372.5,806125568,498428128,370.0,1,
overdraw,800,800,1,10,3,330,250.0,256.3,4.0,68.0000000000001,76.99999999999983,824459264,498428128,78.0000000000003,1,
overdraw,800,800,1,2,3,447,366.0,386.7,2.73224043715847,195.0,195.9,812515328,498428128,197.0,1,
overdraw,800,800,1,4,3,364,280.0,298.9,3.5714285714285716,113.0,115.7,751419392,498428128,111.0,1,
shadow,800,800,1,1,3,264,207.0,226.8,4.830917874396135,20.0,23.6,691699712,486806936,20.0,1,
shadow,800,800,1,10,3,262,194.0,225.5,5.154639175257732,8.00000000000001,9.800000000000182,671219712,486806936,8.00000000000001,1,
shadow,800,800,1,2,3,254,198.0,221.4,5.05050505050505,13.9999999999998,14.00000000000016,708706304,486806936,13.9999999999998,1,
shadow,800,800,1,4,3,248,195.0,222.0,5.128205128205129,10.0000000000002,10.0000000000002,758071296,486806936,11.0000000000001,1,
ssao,800,800,1,1,3,389,275.0,278.6,3.6363636363636362,108.0,108.9,902119424,545101496,106.0,1,
ssao,800,800,1,10,3,317,189.0,198.0,5.291005291005291,21.0000000000004,28.19999999999995,932413440,545101496,21.9999999999998,1,
ssao,800,800,1,2,3,345,224.0,224.0,4.464285714285714,60.0000000000001,60.0000000000001,734199808,545101496,60.0000000000001,1,
ssao,800,800,1,4,3,317,204.0,206.7,4.901960784313726,33.9999999999998,34.90000000000007,895352832,545101496,35.0000000000001,1,
