case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,3,573,508.0,509.8,1.968503937007874,328.0,332.5,1173864448,483013552,325.0,3,428179456
alpha4,800,800,1,1,3,337,272.0,273.8,3.676470588235294,89.0000000000004,89.9000000000003,855965696,483002552,88.0000000000001,3,405143552
alpha64,800,800,1,1,3,1396,1341.0,1351.8,0.7457121551081283,1152.0,1160.1,2783936512,483038608,1145.0,3,1084833792
environment,800,800,1,1,3,303,249.0,256.2,4.016064257028113,52.0,56.500000000000355,707231744,463621408,51.0000000000002,3,407945216
grid100k,800,800,1,1,3,281,212.0,221.9,4.716981132075472,37.9999999999998,37.9999999999998,816742400,498232744,37.9999999999998,3,483442688
grid1m,800,800,1,1,3,496,392.0,410.9,2.5510204081632653,217.0,223.3,1553547264,635502936,223.0,3,1156251648
grid500k,800,800,1,1,3,385,275.0,312.8,3.6363636363636362,126.0,127.8,1320763392,559058760,124.000000000001,3,688717824
occluded,800,800,1,1,3,358,269.0,286.1,3.717472118959108,94.0000000000003,94.89999999999976,842858496,498428128,93.0,3,441745408
overdraw,800,800,1,1,3,689,587.0,606.8,1.7035775127768313,392.0,403.6999999999991,819757056,498428128,386.0,3,467746816
shadow,800,800,1,1,3,265,215.0,228.5,4.651162790697675,20.0,20.0,753975296,486806936,20.0,3,370573312
shared_textures,800,800,1,1,3,275,204.0,210.3,4.901960784313726,20.0,20.0,834699264,486774328,20.0,3,416219136
small,800,800,1,1,3,256,184.0,186.7,5.434782608695652,7.00000000000012,7.00000000000012,795967488,485353360,7.00000000000012,3,377683968
ssao,800,800,1,1,3,388,269.0,282.5,3.717472118959108,107.0,116.9,868220928,545101496,108.0,3,449249280
toon,800,800,1,1,3,409,331.0,334.6,3.0211480362537766,146.0,146.9,966213632,522000424,144.0,3,490094592
