case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
occluded,800,800,1,1,3,345,261.0,272.7,3.8314176245210727,89.0,91.70000000000009,821936128,498428128,93.0,3,457261056
overdraw,800,800,1,1,3,620,539.0,554.3,1.8552875695732838,372.0,373.8,792379392,498428128,369.000000000001,3,423460864
