"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"grid100k",800,800,1,4,"process_cold",0,923
"grid100k",800,800,1,4,"warm",1,526
"grid100k",800,800,1,4,"warm",2,569
"grid100k",800,800,1,4,"warm",3,462
"grid100k",800,800,1,4,"warm",4,485
"grid100k",800,800,1,4,"warm",5,457.999999999999
"grid100k",800,800,1,4,"warm",6,524
"grid100k",800,800,1,4,"warm",7,536
"grid100k",800,800,1,4,"warm",8,515.000000000001
"grid100k",800,800,1,4,"warm",9,466
"grid100k",800,800,1,4,"warm",10,446.000000000001
