"case","cores","width","height","fsaa","regime","sample","elapsed_ms"
"tangent_overdraw",1,800,800,1,"warm",1,613
"tangent_overdraw",1,800,800,1,"warm",2,636
"tangent_overdraw",1,800,800,1,"warm",3,615
"tangent_overdraw",1,800,800,1,"warm",4,630
"tangent_overdraw",1,800,800,1,"warm",5,613
"tangent_overdraw",1,800,800,1,"native",1,590
"tangent_overdraw",1,800,800,1,"native",2,586
"tangent_overdraw",1,800,800,1,"native",3,592
"tangent_overdraw",1,800,800,1,"native",4,592.000000000001
"tangent_overdraw",1,800,800,1,"native",5,584
