"case","cores","width","height","fsaa","regime","sample","elapsed_ms"
"tangent",1,800,800,1,"warm",1,59
"tangent",1,800,800,1,"warm",2,86
"tangent",1,800,800,1,"warm",3,64.9999999999999
"tangent",1,800,800,1,"warm",4,85.0000000000001
"tangent",1,800,800,1,"warm",5,57.9999999999999
"tangent",1,800,800,1,"native",1,44
"tangent",1,800,800,1,"native",2,44
"tangent",1,800,800,1,"native",3,44.9999999999999
"tangent",1,800,800,1,"native",4,43.9999999999998
"tangent",1,800,800,1,"native",5,42.9999999999999
