"case","cores","width","height","fsaa","regime","sample","elapsed_ms"
"tangent",1,800,800,1,"warm",1,61.0000000000001
"tangent",1,800,800,1,"warm",2,87.0000000000001
"tangent",1,800,800,1,"warm",3,58
"tangent",1,800,800,1,"warm",4,82
"tangent",1,800,800,1,"warm",5,60.9999999999999
"tangent",1,800,800,1,"native",1,44.9999999999999
"tangent",1,800,800,1,"native",2,45.0000000000001
"tangent",1,800,800,1,"native",3,44
"tangent",1,800,800,1,"native",4,45.0000000000001
"tangent",1,800,800,1,"native",5,44
