"case","cores","width","height","fsaa","regime","sample","elapsed_ms"
"tangent_overdraw",1,800,800,1,"warm",1,609
"tangent_overdraw",1,800,800,1,"warm",2,635
"tangent_overdraw",1,800,800,1,"warm",3,619
"tangent_overdraw",1,800,800,1,"warm",4,667
"tangent_overdraw",1,800,800,1,"warm",5,668
"tangent_overdraw",1,800,800,1,"native",1,611
"tangent_overdraw",1,800,800,1,"native",2,585
"tangent_overdraw",1,800,800,1,"native",3,588
"tangent_overdraw",1,800,800,1,"native",4,587
"tangent_overdraw",1,800,800,1,"native",5,580
