"case","cores","width","height","fsaa","regime","sample","elapsed_ms"
"tangent_overdraw",1,800,800,1,"warm",1,598
"tangent_overdraw",1,800,800,1,"warm",2,636
"tangent_overdraw",1,800,800,1,"warm",3,611
"tangent_overdraw",1,800,800,1,"warm",4,618
"tangent_overdraw",1,800,800,1,"warm",5,601
"tangent_overdraw",1,800,800,1,"native",1,590
"tangent_overdraw",1,800,800,1,"native",2,595.000000000001
"tangent_overdraw",1,800,800,1,"native",3,595
"tangent_overdraw",1,800,800,1,"native",4,584.000000000001
"tangent_overdraw",1,800,800,1,"native",5,579
