"case","cores","width","height","fsaa","regime","sample","elapsed_ms"
"small",1,800,800,1,"warm",1,21
"small",1,800,800,1,"warm",2,41
"small",1,800,800,1,"warm",3,21.9999999999999
"small",1,800,800,1,"warm",4,42
"small",1,800,800,1,"warm",5,21
"small",1,800,800,1,"native",1,7.00000000000001
"small",1,800,800,1,"native",2,7.00000000000001
"small",1,800,800,1,"native",3,7.00000000000001
"small",1,800,800,1,"native",4,7.00000000000001
"small",1,800,800,1,"native",5,6.9999999999999
