case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha129,159,241,1,4,3,96,65.9999999999999,66.00000000000009,15.151515151515174,56.9999999999999,57.89999999999999,602308608,29098384,57.0000000000002,1,260849664
alpha4,1920,1080,1,4,3,656,521.0,546.2,1.9193857965451055,56.0,58.70000000000018,1904508928,1569665760,57.9999999999998,1,
alpha4,1920,1080,2,4,3,2463,2197.0,2206.0,0.4551661356395084,231.999999999999,234.699999999999,5872402432,6045770376,237.000000000002,1,
alpha4,800,800,2,4,3,915,753.0,762.0,1.3280212483399734,118.0,118.9,2364194816,1859867976,119.0,1,
grid100k,1920,1080,1,4,3,655,486.0,510.3,2.05761316872428,37.9999999999994,38.000000000000206,1939079168,1584896360,38.9999999999997,1,
grid100k,1920,1080,2,4,3,2392,2065.0,2101.0,0.48426150121065376,94.9999999999989,97.699999999999,6067109888,6061005032,100.999999999999,1,3302588416
grid100k,800,800,2,4,3,907,697.0,709.6,1.4347202295552368,46.9999999999997,47.89999999999997,2095169536,1875097696,47.9999999999992,1,
small,1920,1080,1,4,3,590,467.0,482.3,2.1413276231263385,14.9999999999997,15.00000000000051,1691369472,1574024240,14.9999999999997,1,
small,1920,1080,2,4,3,2292,2022.0,2026.5,0.49455984174085066,59.9999999999987,61.80000000000095,5377163264,6063357536,62.0000000000012,1,
small,800,800,2,4,3,805,655.0,676.6,1.5267175572519085,20.9999999999999,21.00000000000071,1982939136,1869455296,22.9999999999997,1,
ssao,1920,1080,2,4,3,2780,2406.0,2422.2,0.41562759767248547,401.999999999997,402.0000000000006,6844547072,6846469776,402.999999999999,1,
