"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"toon",800,800,1,1,"process_cold",0,264
"toon",800,800,1,1,"warm",1,183
"toon",800,800,1,1,"warm",2,166
"toon",800,800,1,1,"warm",3,207
