"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"ssao",800,800,1,1,"process_cold",0,216
"ssao",800,800,1,1,"warm",1,147
"ssao",800,800,1,1,"warm",2,149
"ssao",800,800,1,1,"warm",3,124
