"case","buffer","exact","max_absolute","mean_absolute","changed_samples","nonfinite_mismatch","attributes_identical"
"vertex TRUE/uv","image",TRUE,0,0,0,0,TRUE
"vertex TRUE/position","image",TRUE,0,0,0,0,TRUE
"vertex TRUE/depth","image",TRUE,0,0,0,0,TRUE
"diffuse FALSE/none","image",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","r",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","g",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","b",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","a",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","amb",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","depth",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","linear_depth",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","normalx",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","normaly",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","normalz",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","positionx",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","positiony",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","positionz",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","uvx",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","uvy",TRUE,0,0,0,0,TRUE
"diffuse FALSE/all","uvz",TRUE,0,0,0,0,TRUE
"diffuse FALSE/raw_depth","image",TRUE,0,0,0,0,TRUE
"diffuse FALSE/normals","image",TRUE,0,0,0,0,TRUE
"diffuse FALSE/uv","image",TRUE,0,0,0,0,TRUE
"diffuse FALSE/position","image",TRUE,0,0,0,0,TRUE
"diffuse FALSE/depth","image",TRUE,0,0,0,0,TRUE
"diffuse TRUE/none","image",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","r",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","g",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","b",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","a",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","amb",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","depth",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","linear_depth",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","normalx",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","normaly",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","normalz",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","positionx",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","positiony",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","positionz",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","uvx",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","uvy",TRUE,0,0,0,0,TRUE
"diffuse TRUE/all","uvz",TRUE,0,0,0,0,TRUE
