"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"alpha4",800,800,1,1,"process_cold",0,503
"alpha4",800,800,1,1,"warm",1,381
"alpha4",800,800,1,1,"warm",2,407
"alpha4",800,800,1,1,"warm",3,362
