case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,10,3,146,69.0000000000001,70.80000000000001,14.492753623188385,56.0,56.89999999999991,1059848192,132167784,54.9999999999999,1,
alpha16,800,800,1,4,3,186,108.0,110.7,9.25925925925926,95.0,96.8,999751680,132167784,95.9999999999999,1,389906432
grid1m,800,800,1,10,3,249,218.0,235.1,4.587155963302752,153.0,158.4,1361395712,284657152,154.0,1,
grid1m,800,800,1,4,3,263,228.0,243.3,4.385964912280702,166.0,178.6,1283850240,284657152,168.0,1,
overdraw,800,800,1,10,3,174,88.0,90.70000000000009,11.363636363636363,64.0000000000001,64.89999999999992,617332736,147582360,67.0000000000002,1,
overdraw,800,800,1,4,3,208,131.0,132.8,7.633587786259542,110.0,110.0,577126400,147582360,116.0,1,
shadow,800,800,1,4,3,103,28.0,28.9,35.714285714285715,8.9999999999999,9.0,450887680,135961152,10.9999999999999,1,
small,800,800,1,4,3,102,21.0,21.9,47.61904761904762,5.0,5.0,468729856,134507736,6.0,1,
ssao,800,800,1,4,3,152,78.0,78.90000000000009,12.820512820512821,34.0,34.89999999999991,548929536,194255712,35.0000000000001,1,
