"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"alpha16",800,800,1,1,"process_cold",0,1369
"alpha16",800,800,1,1,"warm",1,1159
"alpha16",800,800,1,1,"warm",2,1117
"alpha16",800,800,1,1,"warm",3,1119
"alpha16",800,800,1,1,"warm",4,1164
"alpha16",800,800,1,1,"warm",5,1181
