"sample","native_ms"
1,48
2,36.0000000000005
3,34.9999999999993
4,39.0000000000006
5,36.0000000000005
6,39.0000000000006
7,37.9999999999994
8,36.9999999999999
9,38.9999999999997
10,40
11,41.9999999999998
12,38.0000000000003
13,38.9999999999997
14,37.9999999999994
15,36.9999999999999
