case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
grid100k,1920,1080,2,4,3,1617,1236.0,1319.7,0.8090614886731392,104.000000000001,104.9000000000001,3163504640,2610100608,109.0,1,1861812224
grid100k,800,800,1,4,3,138,49.0,64.29999999999991,20.408163265306122,32.0,59.000000000000085,614875136,147386960,25.0000000000001,1,
grid1m,800,800,1,1,3,327,294.0,296.7,3.401360544217687,229.0,248.7999999999991,1186562048,284657152,251.0,1,
grid1m,800,800,1,10,3,263,226.0,232.3,4.424778761061947,164.0,164.00000000000088,1219788800,284657152,169.0,1,
grid1m,800,800,1,2,3,316,247.0,276.7,4.048582995951417,188.0,192.5,1266188288,284657152,191.000000000001,1,
grid1m,800,800,1,4,3,267,234.0,238.5,4.273504273504273,164.999999999999,170.3999999999999,1314783232,284657152,178.0,1,964476928
grid500k,800,800,1,4,3,192,138.0,152.4,7.246376811594203,89.0,90.79999999999973,907493376,208212992,95.0000000000002,1,
overdraw,800,800,1,4,3,224,136.0,137.8,7.352941176470588,110.0,110.0,587644928,147582360,111.0,1,
small,800,800,1,4,3,110,21.0,21.89999999999991,47.61904761904762,5.00000000000012,5.900000000000012,455835648,134507736,6.0,1,
