case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha129,159,241,1,4,3,94,55.9999999999999,55.99999999999999,17.85714285714289,57.0000000000002,61.499999999999844,641417216,8064992,58.9999999999999,1,242663424
alpha4,1920,1080,1,4,3,263,146.0,163.1,6.8493150684931505,54.9999999999997,55.00000000000015,1158610944,433100776,57.9999999999998,1,
alpha4,1920,1080,2,4,3,1463,1290.0,1312.5,0.7751937984496124,222.0,224.7,3578576896,2594872384,232.000000000001,1,
alpha4,800,800,2,4,3,550,422.0,429.2,2.3696682464454977,107.0,108.8,1475100672,794656304,108.0,1,
grid100k,1920,1080,1,4,3,274,130.0,149.8,7.6923076923076925,33.9999999999998,35.79999999999962,1101742080,448331376,36.9999999999999,1,
grid100k,1920,1080,2,4,3,1377,1188.0,1188.9,0.8417508417508418,92.0000000000005,95.60000000000014,3084926976,2610100608,103.999999999999,1,1816035328
grid100k,800,800,2,4,3,499,356.0,373.1,2.808988764044944,43.0000000000001,43.90000000000001,1220149248,809884864,46.0000000000003,1,
small,1920,1080,1,4,3,216,112.0,119.2,8.928571428571429,16.0,25.89999999999991,1089568768,437459416,16.9999999999999,1,
small,1920,1080,2,4,3,1266,1127.0,1128.8,0.8873114463176575,57.0000000000004,59.699999999998866,3028008960,2612571112,64.9999999999995,1,
small,800,800,2,4,3,444,329.0,336.2,3.0395136778115504,19.0000000000001,19.0000000000001,1197457408,804324872,21.9999999999998,1,
ssao,1920,1080,2,4,3,1784,1572.0,1575.6,0.6361323155216285,398.999999999999,399.0000000000008,3337945088,3395658112,433.999999999999,1,
