case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,3,885,775.0,800.2,1.2903225806451613,640.0,641.799999999999,1644019712,554694224,642.000000000001,3,792330240
alpha4,800,800,1,1,3,463,329.0,354.2,3.0395136778115504,182.0,186.5,1110867968,554683224,186.999999999999,3,475512832
alpha64,800,800,1,1,3,2364,2268.0,2272.5,0.4409171075837742,2110.0,2111.8,2839920640,554719280,2116.0,3,2140995584
environment,800,800,1,1,3,367,226.0,239.5,4.424778761061947,72.0000000000001,73.80000000000028,980434944,535302080,72.0000000000001,3,480722944
environment_shared,800,800,1,1,3,399,276.0,280.5,3.6231884057971016,101.0,101.0,1290633216,535244208,103.0,3,603389952
grid100k,800,800,1,1,3,360,242.0,248.3,4.132231404958677,68.9999999999999,70.79999999999973,1037402112,569913416,73.0,3,528384000
grid1m,800,800,1,1,3,615,508.0,529.6,1.968503937007874,342.0,369.89999999999907,1816363008,707183608,344.0,3,1361625088
grid500k,800,800,1,1,3,488,364.0,388.3,2.7472527472527473,194.0,198.50000000000088,1461862400,630739432,202.0,3,826408960
point_lights,800,800,1,1,3,376,265.0,267.7,3.7735849056603774,93.9999999999999,94.90000000000016,960954368,555341592,96.0000000000001,3,391528448
shadow,800,800,1,1,3,344,226.0,235.9,4.424778761061947,68.0000000000001,68.0000000000001,986775552,558487608,70.9999999999997,3,471351296
shared_textures,800,800,1,1,3,311,205.0,210.4,4.878048780487805,45.9999999999998,46.899999999999714,1042612224,558455000,46.9999999999997,3,515080192
small,800,800,1,1,3,291,182.0,186.5,5.4945054945054945,26.0000000000002,27.79999999999966,865140736,557034032,29.9999999999998,3,457375744
ssao,800,800,1,1,3,629,482.0,490.1,2.074688796680498,304.0,341.8,885047296,580941832,310.0,3,438042624
toon,800,800,1,1,3,440,303.0,314.7,3.3003300330033003,157.0,164.2,1079001088,557840760,159.0,3,491880448
