case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha129,159,241,1,4,3,314,290.0,298.1,3.4482758620689653,292.0,293.8,992182272,33390784,290.0,1,407552000
alpha4,1920,1080,1,4,3,907,732.0,750.0,1.366120218579235,277.0,277.0,2027880448,1801909632,280.0,1,
alpha4,1920,1080,2,4,3,3477,3125.0,3174.5,0.32,1123.0,1133.8,7313162240,6974743848,1167.0,1,
alpha4,800,800,2,4,3,1374,1197.0,1206.9,0.835421888053467,548.0,550.7,3110453248,2146588648,573.0,1,
grid100k,1920,1080,1,4,3,764,549.0,564.3,1.8214936247723132,107.0,107.9,1862959104,1817140232,131.0,1,
grid100k,1920,1080,2,4,3,2659,2305.0,2323.9,0.43383947939262474,347.999999999999,377.6999999999999,6099288064,6989978504,371.000000000002,1,4575854592
grid100k,800,800,2,4,3,974,750.0,775.2,1.3333333333333333,135.0,158.4,2305261568,2161818368,159.0,1,
small,1920,1080,1,4,3,688,536.0,545.9,1.8656716417910448,70.0000000000003,73.60000000000066,1978122240,1806268112,70.9999999999997,1,
small,1920,1080,2,4,3,2686,2229.0,2255.1,0.4486316733961418,297.000000000001,305.10000000000105,6439714816,6992331008,311.0,1,
small,800,800,2,4,3,930,717.0,730.5,1.394700139470014,91.0000000000002,91.90000000000046,2206941184,2156175968,109.0,1,
ssao,1920,1080,2,4,3,3317,3011.0,3019.1,0.33211557622052473,1061.0,1073.6,6930153472,7310956512,1042.0,1,
