case,samples,total_ms,cleanup_ms,mean_with_cleanup_ms,fps_with_cleanup,variant,frame_median_ms,frame_p95_ms
alpha16,10,9836,28.9999999999999,983.6,1.01667344448963,final,976.0,1001.65
alpha16,10,10245,28.0000000000005,1024.5,0.976085895558809,reference,1017.5,1053.25
alpha4,10,3842,27.0000000000001,384.2,2.60281103591879,final,378.0,397.9
alpha4,10,4191,27.0000000000001,419.1,2.38606537819136,reference,410.5,439.84999999999997
alpha64,5,16453,30.9999999999988,3290.6,0.30389594602808,final,3290.0,3315.6
alpha64,5,16570,28.0000000000022,3314,0.301750150875075,reference,3292.0,3357.6
grid100k,10,2455,28,245.5,4.07331975560081,final,240.0,256.2
grid100k,10,3677,25.9999999999998,367.7,2.7196083763938,reference,361.0,377.55
grid1m,10,5645,34.0000000000007,564.5,1.77147918511958,final,557.0,577.95
grid1m,10,15247,31.0000000000024,1524.7,0.655866727880895,reference,1533.5,1545.95
grid500k,10,3846,30.0000000000002,384.6,2.60010400416017,final,382.0,393.59999999999997
grid500k,10,8887,32.9999999999995,888.7,1.12523911331158,reference,884.4999999999995,910.6
occluded,10,3237,27.9999999999996,323.7,3.08928019771393,final,315.0,347.54999999999995
occluded,10,4473,27.9999999999996,447.3,2.23563603845294,reference,442.5,461.5500000000001
shadow,10,2489,30.0000000000002,248.9,4.01767778224186,final,240.0,256.0
shadow,10,2753,27.9999999999996,275.3,3.63240101707228,reference,272.0,285.3
shared_textures,10,2115,28.9999999999999,211.5,4.72813238770686,final,203.0,235.84999999999997
shared_textures,10,3145,29.9999999999998,314.5,3.17965023847377,reference,303.0,342.05
small,10,1895,28.9999999999999,189.5,5.27704485488127,final,179.0,210.24999999999997
small,10,2211,28,221.1,4.52284034373587,reference,207.5,246.94999999999996
ssao,10,4710,30.9999999999997,471,2.12314225053079,final,467.5,492.55
ssao,10,4685,28.9999999999999,468.5,2.13447171824973,reference,463.5000000000005,480.55
toon,10,3335,27.9999999999996,333.5,2.99850074962519,final,322.0,358.3
toon,10,3464,29.9999999999994,346.4,2.88683602771363,reference,345.0,360.75
