case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
normal_shared,800,800,1,1,3,328,250.0,251.8,4.0,204.000000000001,205.8000000000001,1163558912,224469800,213.0,3,748503040
small,800,800,1,1,3,102,23.0,23.0,43.47826086956522,8.00000000000001,8.00000000000001,413319168,134506568,8.00000000000001,3,218365952
ssao,800,800,1,1,3,222,149.0,149.9,6.7114093959731544,107.0,107.9,515342336,194198840,106.0,3,270385152
