case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha129,159,241,1,4,3,91,59.9999999999999,61.7999999999999,16.666666666666693,62.0000000000001,62.0000000000001,549617664,8064992,58.0,1,241713152
alpha4,1920,1080,1,4,3,304,158.0,179.6,6.329113924050633,58.9999999999997,59.90000000000006,1173913600,433100776,60.9999999999999,1,
alpha4,1920,1080,2,4,3,2201,1731.0,1763.4,0.5777007510109763,365.0,373.09999999999906,3619684352,2594872384,349.0,1,
alpha4,800,800,2,4,3,584,429.0,444.3,2.331002331002331,114.0,114.9,1449951232,794656304,115.0,1,
grid100k,1920,1080,1,4,3,305,145.0,162.1,6.896551724137931,41.9999999999998,42.00000000000025,1130151936,448331376,42.0000000000003,1,
grid100k,1920,1080,2,4,3,1521,1369.0,1412.2,0.7304601899196493,106.0,107.80000000000089,3200761856,2610100608,109.999999999999,1,1848082432
grid100k,800,800,2,4,3,543,384.0,396.6,2.6041666666666665,49.9999999999998,49.9999999999998,1272594432,809884864,53.9999999999994,1,
small,1920,1080,1,4,3,246,111.0,133.5,9.00900900900901,16.0,16.89999999999991,983908352,437459416,16.9999999999999,1,
small,1920,1080,2,4,3,1416,1209.0,1244.1,0.8271298593879239,60.9999999999999,62.80000000000053,3032416256,2612571112,66.0000000000007,1,
small,800,800,2,4,3,478,345.0,356.7,2.898550724637681,21.9999999999998,22.00000000000016,1174814720,804324872,22.9999999999997,1,
ssao,1920,1080,2,4,3,2471,2070.0,2178.9,0.4830917874396135,549.0,571.5000000000018,3393847296,3395658112,567.0,1,
