"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"alpha16",800,800,1,4,"process_cold",0,336
"alpha16",800,800,1,4,"warm",1,289
"alpha16",800,800,1,4,"warm",2,279
"alpha16",800,800,1,4,"warm",3,257
