case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,3,887,783.0,794.7,1.277139208173691,635.0,636.8,1534803968,554694224,638.0,1,
alpha16,800,800,1,10,3,707,591.0,614.4,1.6920473773265652,453.0,453.90000000000094,1525710848,554694224,447.0,1,
alpha16,800,800,1,2,3,784,672.0,681.0,1.4880952380952381,525.0,533.1000000000009,1510457344,554694224,537.000000000001,1,
alpha16,800,800,1,4,3,722,615.0,635.7,1.6260162601626016,477.0,477.9,1615953920,554694224,485.0,1,
overdraw,800,800,1,1,3,775,657.0,657.9,1.5220700152207,490.0,493.6,1251540992,570108800,542.0,1,
overdraw,800,800,1,10,3,391,268.0,270.7,3.7313432835820897,102.0,104.7,982220800,570108800,105.0,1,
overdraw,800,800,1,2,3,558,437.0,471.2,2.288329519450801,267.0,272.4,1060945920,570108800,298.0,1,
overdraw,800,800,1,4,3,450,326.0,336.8,3.067484662576687,157.0,160.6,1062944768,570108800,170.0,1,
shadow,800,800,1,1,3,356,235.0,235.0,4.25531914893617,67.0000000000002,68.79999999999993,967147520,558487608,70.0000000000003,1,
shadow,800,800,1,10,3,318,196.0,205.0,5.1020408163265305,31.0000000000001,32.79999999999992,953745408,558487608,30.0000000000002,1,
shadow,800,800,1,2,3,322,206.0,219.5,4.854368932038835,46.9999999999997,47.89999999999997,860913664,558487608,46.0000000000003,1,
shadow,800,800,1,4,3,314,198.0,199.8,5.05050505050505,33.0000000000004,35.70000000000004,860045312,558487608,36.0,1,
ssao,800,800,1,1,3,824,702.0,713.7,1.4245014245014245,536.0,538.700000000001,906526720,580941832,537.0,1,
ssao,800,800,1,10,3,342,223.0,224.8,4.484304932735426,56.9999999999999,61.49999999999981,958889984,580941832,64.9999999999999,1,
ssao,800,800,1,2,3,444,331.0,332.8,3.0211480362537766,176.0,179.6,861765632,580941832,170.0,1,
ssao,800,800,1,4,3,377,261.0,264.6,3.8314176245210727,97.0,102.4,910016512,580941832,94.9999999999997,1,
