"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"alpha64",800,800,1,1,"process_cold",0,1201
"alpha64",800,800,1,1,"warm",1,1111
"alpha64",800,800,1,1,"warm",2,1124
"alpha64",800,800,1,1,"warm",3,1115
