"label","seconds","interval_ms"
"Validating Mesh",0.959,NA
"Pre-processing scene",0.959,0
"Pre-processed  scene",0.959,0
"Removed duplicate materials",0.959,0
"Processed scene bounds",0.959,0
"Processed texture filenames",0.959,0
"Processed materials",0.96,1
"Loaded environment maps",0.96,0
"Initialized buffers",0.962,2
"Initialized shadowmaps",0.962,0
"Initialized alpha buffers",0.962,0
"Initialized shaders",0.962,0
"Initialized 3D models",0.962,0
"Calculated depth buffer(s)",0.963,1
"Executed pixel shaders",0.978,15
"Calculated linear depth",0.978,0
"Rasterized image",0.979,1
"Assembled output",0.992,13
"Clamped output",0.997,5
"Display/save image",0.997,0
