case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,5,1369,1159.0,1177.6,0.8628127696289906,986.000000000001,1025.7999999999997,1859010560,554694224,975.000000000001,3,882245632
alpha4,800,800,1,1,5,600,399.0,428.4,2.506265664160401,234.999999999999,241.6,1206272000,554683224,237.0,3,523255808
alpha64,800,800,1,1,3,3561,3502.0,3594.7,0.2855511136493432,3136.0,3385.3,3216850944,554719280,3358.0,3,2373337088
grid100k,1920,1080,1,4,5,861,653.0,672.6,1.5313935681470139,281.000000000001,384.0000000000006,2062827520,1817140232,407.0,3,
grid100k,1920,1080,2,4,5,4446,3505.0,4763.4,0.28530670470756064,515.000000000001,528.1999999999954,6798213120,6989978504,872.0,3,
grid100k,800,800,1,1,5,409,278.0,286.0,3.597122302158273,88.0000000000001,88.80000000000003,1356955648,569913416,89.9999999999999,3,593117184
grid100k,800,800,1,10,5,709,422.0,484.79999999999995,2.3696682464454977,88.9999999999995,95.60000000000014,1643380736,569913416,83.0000000000002,3,
grid100k,800,800,1,2,5,813,327.0,399.2,3.058103975535168,106.0,116.8000000000002,1292009472,569913416,97.9999999999999,3,
grid100k,800,800,1,4,5,694,268.0,274.8,3.7313432835820897,85.9999999999994,94.00000000000045,1264238592,569913416,78.0000000000003,3,
grid100k,800,800,2,4,5,2019,916.0,1156.6,1.091703056768559,328.999999999999,341.0,2614378496,2161818368,225.999999999999,3,
grid1m,800,800,1,1,5,704,581.0,607.2,1.721170395869191,398.999999999999,442.5999999999988,2109751296,707183608,420.0,3,1245708288
grid500k,800,800,1,1,5,540,404.0,422.4,2.4752475247524752,237.0,237.0,1598406656,630739432,233.0,3,811155456
occluded,800,800,1,1,5,491,347.0,385.8,2.881844380403458,165.0,175.0,1580154880,570108800,173.0,3,580812800
occluded,800,800,1,10,5,733,302.0,420.79999999999995,3.3112582781456954,123.0,130.0,1576697856,570108800,124.0,3,
occluded,800,800,1,2,5,861,542.0,637.0,1.845018450184502,139.0,147.9999999999992,1308819456,570108800,146.0,3,
occluded,800,800,1,4,5,719,501.0,527.0,1.996007984031936,162.999999999999,179.2,1553563648,570108800,199.0,3,
shadow,800,800,1,1,5,540,398.0,421.2,2.512562814070352,129.0,178.6,1341128704,558487608,153.0,3,500776960
shadow,800,800,1,10,5,876,400.0,436.6,2.5,59.9999999999996,89.99999999999966,1167769600,558487608,67.0000000000002,3,
shadow,800,800,1,2,5,437,281.0,283.8,3.5587188612099645,91.0000000000002,125.0,1096761344,558487608,75.0000000000002,3,
shadow,800,800,1,4,5,559,234.0,244.2,4.273504273504273,65.9999999999998,79.59999999999988,1159446528,558487608,68.0000000000001,3,
shared_textures,800,800,1,1,5,504,337.0,391.4,2.9673590504451037,98.0000000000008,121.39999999999979,1249378304,558455000,59.0000000000002,3,529432576
small,1920,1080,1,4,5,1394,954.0,1065.2,1.0482180293501049,123.999999999999,196.000000000001,2176778240,1806268112,135.0,3,
small,1920,1080,2,4,5,3274,2813.0,3791.0,0.35549235691432635,459.0,746.0,6341492736,6992331008,739.000000000001,3,
small,800,800,1,1,5,342,215.0,220.4,4.651162790697675,33.9999999999998,56.199999999999896,1415266304,557034032,40.0,3,500891648
small,800,800,1,10,5,599,368.0,396.0,2.717391304347826,38.9999999999997,60.400000000000134,1246969856,557034032,48.0,3,
small,800,800,1,2,5,591,367.0,446.0,2.7247956403269753,73.9999999999998,97.99999999999996,1210499072,557034032,56.0,3,
small,800,800,1,4,5,577,379.0,429.2,2.638522427440633,32.9999999999999,51.3999999999995,1135951872,557034032,32.0,3,
small,800,800,2,4,5,2192,941.000000000001,1663.6,1.0626992561105195,172.000000000001,290.6,2567815168,2156175968,289.0,3,
ssao,1920,1080,1,4,5,1812,1211.0,1435.0,0.8257638315441783,377.000000000001,423.7999999999998,1993555968,1886017040,393.999999999998,3,
ssao,1920,1080,2,4,5,6245,5099.0,6211.2,0.19611688566385566,2093.0,2150.400000000002,7169687552,7310956512,2211.0,3,
ssao,800,800,1,1,5,945,808.0,838.2,1.2376237623762376,567.0,575.8,1339752448,580941832,559.999999999999,3,521666560
ssao,800,800,1,10,5,728,330.0,357.0,3.0303030303030303,180.0,193.6,1211760640,580941832,208.0,3,
ssao,800,800,1,2,5,701,486.0,526.4,2.05761316872428,174.0,181.6,1249034240,580941832,190.0,3,
ssao,800,800,1,4,5,621,357.0,546.4,2.8011204481792715,147.0,242.0,1091846144,580941832,167.0,3,
ssao,800,800,2,4,5,2661,1991.0,2308.0,0.5022601707684581,1065.0,1134.0,2425798656,2251425664,879.000000000001,3,
toon,800,800,1,1,5,676,564.0,597.0,1.7730496453900708,268.000000000001,325.2,1193066496,557840760,265.000000000001,3,567246848
toon,800,800,1,10,5,819,510.0,609.4,1.9607843137254901,261.0,355.0,1206747136,557840760,222.0,3,
toon,800,800,1,2,5,774,462.0,585.0,2.1645021645021645,202.0,294.59999999999997,1273659392,557840760,184.0,3,
toon,800,800,1,4,5,811,556.0,577.0,1.7985611510791366,241.000000000001,248.4000000000008,1256570880,557840760,190.0,3,
