case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,5,1738,1572.0,1605.6,0.6361323155216285,1289.0,1400.4,1717780480,560924624,1418.0,3,959512576
alpha4,800,800,1,1,5,611,469.0,482.2,2.1321961620469083,371.0,391.0,1276133376,560913624,388.0,3,573997056
alpha64,800,800,1,1,3,5080,4434.0,4611.3,0.2255299954894001,4126.0,4349.2,3278569472,560949680,3778.00000000001,3,2451128320
grid100k,1920,1080,1,4,5,1257,1043.0,1071.4,0.9587727708533078,867.000000000001,941.4000000000002,2440282112,1829105032,491.0,3,
grid100k,1920,1080,2,4,5,6335,4270.0,5474.8,0.234192037470726,1735.00000000001,1887.000000000008,6858506240,7026826504,1814.0,3,
grid100k,800,800,1,1,5,569,412.0,427.0,2.4271844660194173,232.0,238.8,1120436224,576143816,231.000000000001,3,657932288
grid100k,800,800,1,10,5,1180,844.0,895.2,1.1848341232227488,250.0,271.59999999999917,1332412416,576143816,282.0,3,
grid100k,800,800,1,2,5,1080,768.0,830.0,1.3020833333333333,375.999999999999,440.8,1433829376,576143816,385.0,3,
grid100k,800,800,1,4,5,783,610.0,634.2,1.639344262295082,331.0,344.20000000000084,1490862080,576143816,331.0,3,
grid100k,800,800,2,4,5,1514,1227.0,1274.4,0.8149959250203749,567.0,859.6000000000012,2890317824,2175728768,956.999999999997,3,
grid1m,800,800,1,1,5,2016,1665.0,1689.2,0.6006006006006006,1463.0,1486.0,2197471232,713414008,1442.0,3,1578975232
grid500k,800,800,1,1,5,1127,966.0,1002.2,1.0351966873706004,773.0,917.8,1720483840,636969832,981.999999999999,3,917553152
occluded,800,800,1,1,5,636,525.0,573.6,1.9047619047619047,309.0,371.4,1271021568,576339200,305.0,3,621936640
occluded,800,800,1,10,5,1129,795.0,936.8,1.2578616352201257,454.000000000001,574.2000000000006,1449050112,576339200,491.999999999999,3,
occluded,800,800,1,2,5,965,687.0,853.4,1.455604075691412,266.999999999999,292.0000000000002,1526644736,576339200,269.0,3,
occluded,800,800,1,4,5,1052,792.000000000001,821.4,1.262626262626261,425.000000000001,478.8000000000008,1469677568,576339200,463.000000000001,3,
shadow,800,800,1,1,5,591,367.0,396.8,2.7247956403269753,144.0,160.2,1154777088,561571992,167.000000000001,3,555073536
shadow,800,800,1,10,5,859,545.0,678.6,1.834862385321101,140.000000000001,165.0,1332576256,561571992,122.0,3,
shadow,800,800,1,2,5,703,475.0,493.4,2.1052631578947367,170.0,183.4,1368702976,561571992,172.0,3,
shadow,800,800,1,4,5,789,531.0,578.6,1.8832391713747645,156.0,230.1999999999992,1250000896,561571992,201.0,3,
shared_textures,800,800,1,1,5,566,386.0,458.2,2.5906735751295336,197.0,225.0,1659305984,561539384,180.0,3,633716736
small,1920,1080,1,4,5,1715,835.0,899.9999999999998,1.1976047904191616,323.0,346.000000000001,2279882752,1818232912,343.0,3,
small,1920,1080,2,4,5,6906,5165.0,6274.2,0.1936108422071636,1456.0,1510.0,6797524992,7029179008,1608.0,3,
small,800,800,1,1,5,371,244.0,249.2,4.098360655737705,66.9999999999997,87.39999999999966,1014939648,563264432,65.9999999999998,3,572801024
small,800,800,1,10,5,812,524.0,552.0,1.9083969465648856,188.0,202.8,1267040256,563264432,129.0,3,
small,800,800,1,2,5,768,502.0,567.2,1.9920318725099602,94.0000000000003,172.0,1338867712,563264432,73.9999999999998,3,
small,800,800,1,4,5,617,407.0,451.4,2.457002457002457,168.0,190.8,1249361920,563264432,159.0,3,
small,800,800,2,4,5,1584,1020.0,1155.8,0.9803921568627451,427.0,457.9999999999996,2864807936,2170086368,368.0,3,
ssao,1920,1080,1,4,5,2888,2544.0,2628.6,0.39308176100628933,1557.0,1715.6,2186887168,1897981840,1640.0,3,
ssao,1920,1080,2,4,5,10782,9935.0,11182.8,0.10065425264217413,6886.0,7113.6,7418642432,7347804512,6812.00000000001,3,
ssao,800,800,1,1,5,759,595.0,622.6,1.680672268907563,376.0,448.59999999999917,1163673600,587172232,372.999999999999,3,570212352
ssao,800,800,1,10,5,1396,1022.0,1079.4,0.9784735812133072,731.999999999999,750.6000000000006,1200799744,587172232,711.0,3,
ssao,800,800,1,2,5,1300,886.0,1124.6,1.1286681715575622,664.000000000001,723.1999999999994,1354104832,587172232,582.000000000001,3,
ssao,800,800,1,4,5,925,773.0,796.0,1.2936610608020698,489.999999999998,504.4,1298661376,587172232,465.0,3,
ssao,800,800,2,4,5,4069,3721.0,3827.6,0.26874496103198064,1493.0,2623.7999999999997,2886139904,2265336064,2722.0,3,
toon,800,800,1,1,5,625,417.0,466.6,2.3980815347721824,286.0,417.2,1117634560,561511112,252.999999999999,3,539901952
toon,800,800,1,10,5,911,748.0,761.0,1.3368983957219251,227.0,267.0000000000008,1186332672,561511112,247.0,3,
toon,800,800,1,2,5,888,664.0,757.4,1.5060240963855422,339.0,390.59999999999917,1428389888,561511112,314.0,3,
toon,800,800,1,4,5,951,439.0,623.4,2.277904328018223,218.999999999999,239.0,1176272896,561511112,228.0,3,
