"case","width","height","fsaa","cores","regime","sample","elapsed_ms"
"ssao",800,800,1,2,"process_cold",0,444
"ssao",800,800,1,2,"warm",1,331
"ssao",800,800,1,2,"warm",2,323
"ssao",800,800,1,2,"warm",3,333
