case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,3,570,510.0,518.1,1.9607843137254901,327.0,327.9,1301495808,483013552,329.0,3,389955584
alpha4,800,800,1,1,3,339,267.0,273.3,3.745318352059925,86.0000000000003,87.80000000000013,819068928,483002552,89.9999999999999,3,393265152
alpha64,800,800,1,1,3,1399,1335.0,1338.6,0.7490636704119851,1160.0,1161.8,2769059840,483038608,1146.0,3,1087422464
environment,800,800,1,1,3,309,246.0,246.0,4.065040650406504,49.9999999999998,51.79999999999998,726941696,463621408,49.9999999999998,3,395837440
environment_shared,800,800,1,1,3,313,250.0,273.4,4.0,52.9999999999999,53.899999999999814,879722496,463563536,54.0000000000003,3,411041792
grid100k,800,800,1,1,3,290,214.0,229.3,4.672897196261682,36.9999999999999,37.00000000000035,730234880,498232744,37.9999999999998,3,454836224
grid1m,800,800,1,1,3,472,403.0,406.6,2.4813895781637716,217.0,221.5,1733541888,635502936,221.0,3,1174306816
grid500k,800,800,1,1,3,396,278.0,284.3,3.597122302158273,127.0,129.7,1229242368,559058760,128.0,3,711114752
point_lights,800,800,1,1,3,309,241.0,261.7,4.149377593360996,60.0000000000001,60.0000000000001,733937664,483660920,60.9999999999999,3,391086080
shadow,800,800,1,1,3,270,205.0,219.4,4.878048780487805,20.0,20.0,718503936,486806936,20.0,3,403046400
shared_textures,800,800,1,1,3,269,202.0,207.4,4.9504950495049505,20.0,20.90000000000036,800309248,486774328,20.0,3,413384704
small,800,800,1,1,3,256,193.0,193.0,5.181347150259067,7.00000000000012,7.900000000000022,841203712,485353360,8.00000000000001,3,372260864
ssao,800,800,1,1,3,390,274.0,274.9,3.6496350364963503,106.0,106.9,925171712,545101496,107.0,3,430096384
toon,800,800,1,1,3,411,331.0,334.6,3.0211480362537766,144.0,148.5,888143872,522000424,144.0,3,474791936
