case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,3,397,323.0,325.7,3.0959752321981426,315.0,318.6,1021001728,132167784,319.0,3,383074304
environment,800,800,1,1,3,157,78.0,78.00000000000009,12.820512820512821,50.0,52.70000000000018,445399040,112775784,50.9999999999999,3,189087744
grid100k,800,800,1,1,3,141,53.0,54.79999999999991,18.867924528301888,30.9999999999999,31.000000000000078,487456768,147386960,32.0,3,285081600
grid1m,800,800,1,1,3,265,240.0,241.8,4.166666666666667,176.0,182.3,1172176896,284657152,181.0,3,710787072
point_lights,800,800,1,1,3,156,79.0000000000001,82.60000000000001,12.65822784810125,58.9999999999999,59.90000000000008,445579264,132815136,58.9999999999999,3,211173376
shadow,800,800,1,1,3,113,37.0,38.8,27.027027027027028,18.9999999999999,18.9999999999999,479215616,135961152,20.0,3,210026496
shared_textures,800,800,1,1,3,125,39.0,40.79999999999991,25.641025641025642,18.0,18.89999999999991,499351552,135928560,21.0000000000001,3,232226816
small,800,800,1,1,3,99,23.0,23.9,43.47826086956522,7.00000000000001,7.00000000000001,432177152,134507736,8.00000000000001,3,214106112
ssao,800,800,1,1,3,225,150.0,152.7,6.666666666666667,110.0,110.0,720961536,194255712,107.0,3,265158656
toon,800,800,1,1,3,263,185.0,212.9,5.405405405405405,142.0,144.7,611336192,171154656,143.0,3,313950208
