"case","cores","regime","sample","elapsed_ms"
"ssao",1,"warm",1,996
"ssao",1,"warm",2,888
"ssao",1,"warm",3,893
"ssao",1,"warm",4,984
"ssao",1,"warm",5,925
"ssao",1,"warm",6,965
"ssao",1,"warm",7,907.000000000001
"ssao",1,"warm",8,1010
"ssao",1,"warm",9,904.999999999999
"ssao",1,"warm",10,977
"ssao",1,"native",1,640.000000000001
"ssao",1,"native",2,654.000000000002
"ssao",1,"native",3,569.000000000001
"ssao",1,"native",4,558
"ssao",1,"native",5,639.999999999999
"ssao",1,"native",6,637
"ssao",1,"native",7,609.999999999999
"ssao",1,"native",8,617.000000000001
"ssao",1,"native",9,567
"ssao",1,"native",10,591.000000000001
