"case","cores","regime","sample","elapsed_ms"
"ssao",1,"warm",1,925
"ssao",1,"warm",2,1062
"ssao",1,"warm",3,787
"ssao",1,"warm",4,971
"ssao",1,"warm",5,973.000000000001
"ssao",1,"warm",6,957
"ssao",1,"warm",7,975
"ssao",1,"warm",8,869.999999999999
"ssao",1,"warm",9,898.999999999999
"ssao",1,"warm",10,879.999999999999
"ssao",1,"native",1,533.000000000001
"ssao",1,"native",2,569.999999999999
"ssao",1,"native",3,567
"ssao",1,"native",4,462
"ssao",1,"native",5,574
"ssao",1,"native",6,603
"ssao",1,"native",7,609
"ssao",1,"native",8,607.000000000001
"ssao",1,"native",9,574.999999999999
"ssao",1,"native",10,559.999999999999
