"case","cores","regime","sample","elapsed_ms"
"ssao",1,"warm",1,966
"ssao",1,"warm",2,794
"ssao",1,"warm",3,800
"ssao",1,"warm",4,917.999999999999
"ssao",1,"warm",5,842
"ssao",1,"warm",6,814
"ssao",1,"warm",7,887
"ssao",1,"warm",8,909.000000000001
"ssao",1,"warm",9,962
"ssao",1,"warm",10,902.000000000001
"ssao",1,"native",1,553.000000000001
"ssao",1,"native",2,458
"ssao",1,"native",3,638
"ssao",1,"native",4,521.999999999998
"ssao",1,"native",5,622
"ssao",1,"native",6,572.999999999999
"ssao",1,"native",7,656.000000000001
"ssao",1,"native",8,518.000000000001
"ssao",1,"native",9,563.000000000002
"ssao",1,"native",10,571.999999999999
